SEGMENTO;-;
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;SITUAÇÃO;
33775974;"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES";"AVENIDA DAS AMERICAS 3.500";"SALAS 311 A 318, BLOCO 01, ED. LONDRES";"BARRA DA TIJUCA";"22640102";"RIO DE JANEIRO";"RJ";"Brasil";-;-;"https://www.ativainvestimentos.com.br";"Autorizada em Atividade";
4772908;"ATLANTA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA";"RUA BARAO DE PASSOS, 393";-;"CENTRO";"37900048";"PASSOS";"MG";"Brasil";-;-;-;"Autorizada em Atividade";
27126513;"ATLAS BRASIL INSTITUICAO DE PAGAMENTO LTDA";"AVENIDA BRIGADEIRO FARIA LIMA, 4055, 1 ANDAR";"SALA CONJUNTO 01-110";"ITAIM";"04538133";"SAO PAULO";"SP";"Brasil";-;-;"https://www.arqfinance.com/pt-br";-;
5956581;"ATRIA S.A.- CRÉDITO, FINANCIAMENTO E INVESTIMENTO";"AV. DAS ARAUCARIAS 5126";"SALA 6";"CHAPADA";"83707000";"ARAUCARIA";"PR";"Brasil";-;-;-;"Autorizada em Atividade";
44323831;"ATUAL CORRETORA DE CÂMBIO LTDA.";"AVENIDA PROFESSORA IZORAIDA MARQUES PERES, 256";"SALA 23";"CAMPOLIM";"18048110";"SOROCABA";"SP";"Brasil";-;-;"https://www.atualcambio.com.br";"Autorizada em Atividade";
7398335;"AUTHPAY INSTITUICAO DE PAGAMENTO LTDA";"AVENIDA TAQUARA, N- 375";"3- ANDAR, SALA 401";"PETROPOLIS";"90460210";"PORTO ALEGRE";"RS";"Brasil";-;-;"https://www.authpay.com.br";-;
20308187;"AVANCARD PROVER INSTITUIÇÃO DE PAGAMENTO LTDA";"RUA 24 DE MAIO, 399, 2- ANDAR, SALA A";"2- ANDAR, SALA A";"CENTRO";"69010080";"MANAUS";"AM";"Brasil";-;-;-;"Autorizada em Atividade";
61384004;"AVENUE SECURITIES BANCO DE INVESTIMENTO S.A.";"RUA MARIA CAROLINA, N° 624";"CONJUNTO 42, 4- ANDAR";"JARDIM PAULISTANO";"01445000";"SAO PAULO";"SP";"Brasil";-;-;"https://dtvm.avenue.us/";"Autorizada em Atividade";
3443143;"AVIPAM CORRETORA DE CAMBIO LTDA";"RUA DA ASSEMBLEIA 51";"9- ANDAR";"CENTRO";"20011001";"RIO DE JANEIRO";"RJ";"Brasil";-;-;"https://www.avipamcambio.com.br";"Autorizada em Atividade";
4838403;"AVIV INSTITUICAO DE PAGAMENTO S.A";"AV ALVARO OTACILIO 3731";"SALA 302 - COND JTR EDIFICIO ITALIA";"JATIUCA";"57036850";"SAO PAULO";"SP";"Brasil";-;-;"https://www.avivpay.com.br";-;
25280945;"AVS CORRETORA DE CÂMBIO LTDA.";"RUA MARECHAL DEODORO, 630";"5 ANDAR - CONJUNTO 502";"CENTRO";"80010010";"CURITIBA";"PR";"Brasil";-;-;"https://www.avscambio.com.br";"Autorizada em Atividade";
52076716;"AWX BRASIL  INSTITUICAO DE PAGAMENTO LTDA";"AVENIDA BRIGADEIRO LUIZ ANTÔNIO, 300";"10- ANDAR, CONJUNTO 104";"BELA VISTA";"01318903";"SAO PAULO";"SP";"Brasil";-;-;-;"Autorizada em Atividade";
18684408;"AZIMUT BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA";"RUA LEOPOLDO COUTO DE MAGALHÃES";"14- ANDAR";"ITAIM BIBI";"04542000";"SAO PAULO";"SP";"Brasil";-;-;"https://www.azimutbrasil.com.br/azwealth/";"Autorizada em Atividade";
40434681;"AZUMI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.";"AVENIDA DAS NAÇÕES UNIDAS, N- 14.171";"3ANDAR,CONJ 302,ED. ROCH TOWERS,TORRREC, CRYSTAL";"VILA GERTRUDES";"04794000";"SAO PAULO";"SP";"Brasil";-;-;-;"Autorizada em Atividade";
74014747;"ÁGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.";"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, 1.309";"4°, 5° E 11° ANDARES";"VILA OLÍMPIA";"04543011";"SAO PAULO";"SP";"Brasil";-;-;"https://www.agorainvest.com.br";"Autorizada em Atividade";
3762583;"ÁPICE ADMINISTRADORA DE CONSORCIO LTDA";"AVENIDA PLAZA";"SALA A 1 - EDIFÍCIO CAMPUS OFFICE";"JARDIM PARAÍSO";"13302100";"ITU";"SP";"Brasil";-;-;"https://www.consorcioapice.com.br";"Autorizada em Atividade";
47825528;"B3 INSTITUICAO DE PAGAMENTO LTDA";"PRAÇA ANTÔNIO PRADO";"N°48, 1O ANDAR - SALA 1";"CENTRO";"01010901";"SAO PAULO";"SP";"Brasil";-;-;-;"Autorizada em Atividade";
33735811;"B91 INSTITUICAO DE PAGAMENTO S.A";"AVENIDA PAULISTA N- 1842";"CONJ. 178";"BELA VISTA";"01310923";"SAO PAULO";"SP";"Brasil";-;-;-;-;
